league,date,Team,GP,W,L,AGT,K,D,KD,CKPM,GSPD,GD15,FB%,FT%,F3T%,PPG,HLD%,GRB%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM,winrate%
CBLOL,2023-02-26,LOUD,12.0,6.0,6.0,32.53611111111111,145.0,182.0,0.7967032967032966,0.8513244229434623,-0.051878766666666666,-958.9166666666666,0.25,0.16666666666666666,0.3333333333333333,3.25,0.4583333333333333,,0.75,0.43137254901960786,0.0,0.3333333333333333,0.3157894736842105,0.504725631399433,0.497842932520274,2.263225,1.4561692095806522,1.3735953802304053,0.5
CBLOL,2023-03-04,LOUD,13.0,7.0,6.0,33.82435897435898,160.0,199.0,0.8040201005025126,0.8357846003934812,-0.05121305384615385,-714.7692307692307,0.3076923076923077,0.23076923076923078,0.38461538461538464,3.3076923076923075,0.46153846153846156,,0.6923076923076923,0.4482758620689655,0.0,0.38461538461538464,0.391304347826087,0.5025732125261314,0.500715413494498,2.3419846153846153,1.4300020351385203,1.3803142080615933,0.5384615384615384
CBLOL,2023-03-05,LOUD,14.0,8.0,6.0,33.29642857142857,172.0,201.0,0.8557213930348259,0.8139167218029543,-0.03916412142857143,-615.5,0.35714285714285715,0.2857142857142857,0.42857142857142855,3.5714285714285716,0.4642857142857143,,0.7142857142857143,0.4838709677419355,0.0,0.42857142857142855,0.4166666666666667,0.5017575240568449,0.5049086189488248,2.4287071428571427,1.425138802039543,1.4033200478208399,0.5714285714285714
CBLOL,2023-03-11,LOUD,15.0,9.0,6.0,33.17888888888889,189.0,206.0,0.9174757281553398,0.8061672349230674,-0.024854646666666664,-463.2,0.4,0.3333333333333333,0.4666666666666667,3.6666666666666665,0.5,,0.6666666666666666,0.5074626865671642,0.0,0.4666666666666667,0.46153846153846156,0.5032015372209878,0.5094751911666409,2.50992,1.4294952990987815,1.4260444477335592,0.6
CBLOL,2023-03-12,LOUD,16.0,10.0,6.0,33.17395833333333,220.0,225.0,0.9777777777777777,0.8501926588733062,-0.02176203125,-281.3125,0.4375,0.375,0.5,3.9375,0.46875,,0.6875,0.5138888888888888,0.0,0.5,0.48148148148148145,0.5035793803784938,0.5128633440222488,2.54565,1.4175687613341106,1.4294393283604836,0.625
CBLOL,2023-03-18,LOUD,17.0,11.0,6.0,32.581372549019605,236.0,229.0,1.0305676855895196,0.8511107886925744,-0.013555323529411765,-90.41176470588235,0.47058823529411764,0.4117647058823529,0.5294117647058824,4.176470588235294,0.47058823529411764,,0.7058823529411765,0.52,0.0,0.5294117647058824,0.5,0.5042819389336997,0.5121066767268223,2.625088235294118,1.4360412889969119,1.4217488560275904,0.6470588235294118
CBLOL,2023-03-19,LOUD,18.0,12.0,6.0,32.487037037037034,259.0,235.0,1.102127659574468,0.8559945120406783,-0.002770416666666667,-10.666666666666666,0.5,0.4444444444444444,0.5555555555555556,4.333333333333333,0.5,,0.7222222222222222,0.5443037974683544,0.0,0.5555555555555556,0.5172413793103449,0.5041338329389272,0.5140836562249049,2.6771277777777778,1.4498032213435186,1.4488970052684873,0.6666666666666666
CBLOL,2023-03-26,LOUD,4.0,3.0,1.0,33.6125,61.0,52.0,1.1730769230769231,0.8360752433253638,0.065325475,1367.5,0.5,1.0,0.75,6.5,0.5714285714285714,,0.5,0.7,1.0,0.75,0.8571428571428571,0.5043122279400907,0.5576639096212811,3.7071499999999995,1.4262872353979121,1.3954351061529897,0.75
CBLOL,2023-04-02,LOUD,8.0,6.0,2.0,35.28125,122.0,97.0,1.2577319587628866,0.7803835293738834,0.05798244999999999,2146.125,0.75,0.875,0.625,6.5,0.4,,0.75,0.6666666666666666,0.5,0.625,0.7333333333333333,0.4976603566253771,0.537912195880416,3.67645,1.4615082879995318,1.519012464329674,0.75
CBLOL,2023-04-15,LOUD,11.0,9.0,2.0,34.29545454545455,171.0,110.0,1.5545454545454545,0.7463489259876429,0.06641104636363636,1793.7272727272727,0.6363636363636364,0.9090909090909091,0.7272727272727273,6.181818181818182,0.47619047619047616,,0.7272727272727273,0.6785714285714286,0.5,0.6363636363636364,0.7368421052631579,0.4964490419953855,0.5443111883256898,3.6835454545454542,1.4825979973210144,1.5445520520542353,0.8181818181818182
CBLOL,2023-06-10,LOUD,1.0,0.0,1.0,32.083333333333336,15.0,30.0,0.5,1.4025974025974024,-0.0882326,-2145.0,0.0,1.0,1.0,6.0,1.0,,1.0,0.6,,0.0,0.0,0.4906148867313916,0.47540983606557374,3.5221,1.1844155844155844,1.0597402597402596,0.0
CBLOL,2023-06-11,LOUD,2.0,0.0,2.0,31.133333333333333,26.0,48.0,0.5416666666666666,1.1816962717017934,-0.04961355,-1357.0,0.0,1.0,1.0,6.5,1.0,,0.5,0.3333333333333333,,0.5,0.25,0.4841241821824346,0.5072579906584852,3.30165,1.2216942637704649,0.9274405329623441,0.0
CBLOL,2023-06-17,LOUD,3.0,0.0,3.0,32.388888888888886,35.0,71.0,0.49295774647887325,1.0934326625098871,-0.04674326666666667,-1053.3333333333333,0.0,1.0,1.0,6.666666666666667,1.0,,0.3333333333333333,0.21428571428571427,0.0,0.6666666666666666,0.3333333333333333,0.48385706964039793,0.48737834297867266,3.2612666666666663,1.2442622694477408,1.1436040993387928,0.0
CBLOL,2023-06-18,LOUD,4.0,1.0,3.0,32.24583333333333,57.0,83.0,0.6867469879518072,1.0872300757195028,-0.019225475000000002,-778.5,0.0,0.75,0.75,5.75,0.75,,0.5,0.3333333333333333,0.0,0.75,0.42857142857142855,0.493693071228281,0.48878305695389246,3.27885,1.2553549000952344,1.156288721439663,0.25
CBLOL,2023-06-24,LOUD,5.0,2.0,3.0,31.90333333333333,75.0,91.0,0.8241758241758241,1.0400897374314975,0.00019613999999999743,-524.2,0.0,0.8,0.8,6.4,0.8,,0.4,0.4090909090909091,0.0,0.8,0.5,0.4945094474467061,0.48306184379320244,3.23226,1.2204411253163623,1.2983934225665776,0.4
