league,date,Team,GP,W,L,AGT,K,D,KD,CKPM,GSPD,GD15,FB%,FT%,F3T%,PPG,HLD%,GRB%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM,winrate%
VCS,2024-01-28,MGN Blue Esports,6.0,2.0,4.0,28.477777777777774,87.0,129.0,0.6744186046511628,1.2601858921304616,-0.04190684833333334,-680.3333333333334,0.3333333333333333,0.16666666666666666,0.3333333333333333,3.5,1.0,0.4444444444444444,0.16666666666666666,0.34782608695652173,,0.5,0.5,0.47827269310275994,0.4840282068033293,4.099716666666667,1.4532058911464059,2.0222825782392957,0.3333333333333333
VCS,2024-02-02,MGN Blue Esports,9.0,4.0,5.0,30.149999999999995,128.0,187.0,0.6844919786096256,1.167907177013873,-0.05680419888888888,-670.5555555555555,0.4444444444444444,0.2222222222222222,0.4444444444444444,3.3333333333333335,0.8888888888888888,0.5925925925925926,0.2222222222222222,0.34210526315789475,,0.4444444444444444,0.5,0.48065234424551423,0.48851080038692385,3.9375222222222224,1.5270947829710242,1.9294913913172822,0.4444444444444444
VCS,2024-02-04,MGN Blue Esports,11.0,4.0,7.0,29.84696969696969,143.0,224.0,0.6383928571428571,1.1212255997403178,-0.0727973718181818,-1360.8181818181818,0.36363636363636365,0.18181818181818182,0.36363636363636365,2.8181818181818183,0.8181818181818182,0.5757575757575758,0.18181818181818182,0.28888888888888886,,0.36363636363636365,0.42857142857142855,0.4786601806582169,0.48936455878462,4.080154545454545,1.5240145372412284,1.9782114247130567,0.36363636363636365
VCS,2024-02-17,MGN Blue Esports,13.0,4.0,9.0,28.91282051282051,162.0,277.0,0.5848375451263538,1.181893919606824,-0.10470239153846152,-1577.076923076923,0.46153846153846156,0.15384615384615385,0.3076923076923077,2.8461538461538463,0.6923076923076923,0.48717948717948717,0.3076923076923077,0.3137254901960784,,0.3076923076923077,0.375,0.4770238255988893,0.48470181657643524,3.9615230769230765,1.470554334447291,1.8706213215645446,0.3076923076923077
VCS,2024-02-22,MGN Blue Esports,15.0,4.0,11.0,30.463333333333328,193.0,311.0,0.6205787781350482,1.1307268778032544,-0.10134661266666666,-1550.4666666666667,0.4666666666666667,0.2,0.26666666666666666,2.933333333333333,0.6,0.4367816091954023,0.4,0.3709677419354839,,0.3333333333333333,0.35,0.48204596220010176,0.4845585726367291,3.991946666666666,1.5240951416577861,1.9356569004743382,0.26666666666666666
VCS,2024-02-24,MGN Blue Esports,17.0,6.0,11.0,31.904901960784315,239.0,347.0,0.6887608069164265,1.111587745230667,-0.0874482523529412,-1566.1176470588234,0.4117647058823529,0.29411764705882354,0.23529411764705882,2.9411764705882355,0.5294117647058824,0.43617021276595747,0.4117647058823529,0.40540540540540543,1.0,0.4117647058823529,0.44,0.4836328121143309,0.48492142546290384,3.9800999999999997,1.5622794023834459,1.9517627957276384,0.35294117647058826
VCS,2024-02-29,MGN Blue Esports,20.0,8.0,12.0,32.355,295.0,380.0,0.7763157894736842,1.0750896461517816,-0.06866547950000002,-1453.95,0.5,0.3,0.2,3.05,0.55,0.4107142857142857,0.4,0.42696629213483145,1.0,0.5,0.5161290322580645,0.48332643778177353,0.48741914607331227,3.9376349999999993,1.5854329714285929,1.9069342238182212,0.4
VCS,2024-03-02,MGN Blue Esports,22.0,8.0,14.0,32.025757575757574,312.0,409.0,0.7628361858190709,1.0500784133351306,-0.0679891131818182,-1410.6363636363637,0.5,0.3181818181818182,0.18181818181818182,3.0,0.5909090909090909,0.3790322580645161,0.4090909090909091,0.4329896907216495,1.0,0.5,0.5294117647058824,0.4835794632270337,0.48072136889783507,3.89130909090909,1.5789468152448463,1.8585741927939947,0.36363636363636365
VCS,2024-03-08,MGN Blue Esports,25.0,10.0,15.0,31.88266666666667,354.0,450.0,0.7866666666666666,1.0317108228844882,-0.0625062916,-1138.36,0.48,0.32,0.24,2.92,0.6,0.4295774647887324,0.36,0.4107142857142857,0.5,0.52,0.5384615384615384,0.48482917484337873,0.48397672994145174,3.8965760000000005,1.5945638698061328,1.8278438184984755,0.4
VCS,2024-03-09,MGN Blue Esports,28.0,11.0,17.0,32.18214285714286,400.0,505.0,0.7920792079207921,1.0272922783372571,-0.05996793178571428,-1140.75,0.42857142857142855,0.2857142857142857,0.21428571428571427,2.9642857142857144,0.6071428571428571,0.4,0.32142857142857145,0.4126984126984127,0.5,0.4642857142857143,0.5111111111111111,0.4862897380115124,0.48604740808075586,3.9701250000000003,1.6146452847701838,1.8456624998406634,0.39285714285714285
VCS,2024-03-14,MGN Blue Esports,30.0,12.0,18.0,32.23722222222222,436.0,537.0,0.8119180633147114,1.027742156588612,-0.05311646966666665,-875.3333333333334,0.43333333333333335,0.3333333333333333,0.23333333333333334,3.1666666666666665,0.6,0.4069767441860465,0.36666666666666664,0.4264705882352941,0.5,0.5,0.5306122448979592,0.4865391108118095,0.49165150608159025,3.989156666666667,1.605045801048843,1.8489720057025691,0.4
VCS,2024-06-22,MGN Blue Esports,2.0,2.0,0.0,30.466666666666665,47.0,19.0,2.473684210526316,1.0744452651633882,0.17771915,958.5,1.0,0.0,0.5,5.0,1.0,0.6666666666666666,1.0,0.8888888888888888,,1.0,1.0,0.498903445718167,0.6124063485804416,4.30075,1.6726766915517133,1.7048846102478419,1.0
VCS,2024-06-29,MGN Blue Esports,4.0,2.0,2.0,30.266666666666666,62.0,67.0,0.9253731343283582,1.061988918572513,-0.0035061750000000003,-517.75,0.5,0.25,0.25,5.0,0.5,0.5,0.75,0.6470588235294118,,0.5,0.6,0.496351200665872,0.510496750668999,3.913525,1.4598418208363637,1.6125285332642352,0.5
VCS,2024-06-30,MGN Blue Esports,7.0,3.0,4.0,29.583333333333332,114.0,111.0,1.027027027027027,1.0934976104060592,0.013827857142857142,523.7142857142857,0.7142857142857143,0.2857142857142857,0.42857142857142855,5.142857142857143,0.7142857142857143,0.5384615384615384,0.5714285714285714,0.5666666666666667,,0.42857142857142855,0.5,0.4956890514813749,0.5109662505925844,3.8854142857142855,1.3984016565220208,1.6010308364614114,0.42857142857142855
